imgWidth,imgHeight,library_loading_time,F1:pre-processing(s),F2:object_detection(s),F3:face_detection(s),F4:face_DB_storage(s),T_p,people_detected,faces_detected
1344,756,18.8329,0.1047,58.2381,2.0734,0.0103,60.4266,2,0
1344,756,18.7522,0.0906,51.4376,2.1988,0.0103,53.7374,2,0
1344,756,18.5557,0.0964,50.9757,2.1173,0.0104,53.2,2,0
1344,756,18.9593,0.0992,54.1856,2.0918,0.0104,56.3871,2,0
1344,756,18.8589,0.0937,53.7864,2.1574,0.0114,56.049,2,0
1344,756,18.9979,0.0926,51.8965,3.7629,0.0116,55.7637,2,0
1344,756,18.765,0.0992,51.9156,2.2083,0.0116,54.2348,2,0
1344,756,18.4059,0.0996,49.7854,2.1068,0.0104,52.0023,2,0
1344,756,18.1291,0.0929,52.8498,2.1473,0.0106,55.1006,2,0
1344,756,18.7591,0.092,52.5067,2.1484,0.0104,54.7576,2,0
1344,756,18.7474,0.0959,51.9997,2.0818,0.0104,54.1878,2,0
1344,756,18.8902,0.0965,53.0413,2.0962,0.0103,55.2444,2,0
1344,756,19.0031,0.0898,51.8851,2.0905,0.0116,54.077,2,0
1344,756,18.7426,0.0974,51.85,2.1165,0.0105,54.0745,2,0
1344,756,18.9928,0.0951,50.033,2.186,0.0095,52.3237,2,0
1344,756,18.6225,0.0915,49.073,2.286,0.0106,51.4612,2,0
1344,756,19.0683,0.1044,50.1767,2.6236,0.0117,52.9165,2,0
1344,756,17.8174,0.0995,49.6206,2.0324,0.0077,51.7603,2,0
1344,756,18.0929,0.0901,52.9657,2.1273,0.0109,55.1941,2,0
1344,756,17.6381,0.087,51.8681,2.1466,0.0108,54.1126,2,0
1344,756,18.351,0.094,50.1357,2.204,0.0104,52.4442,2,0
1344,756,17.8945,0.0901,48.6423,2.0183,0.0105,50.7613,2,0
1344,756,18.0136,0.0878,48.4594,2.2145,0.0106,50.7725,2,0
1344,756,18.7028,0.0925,54.6755,2.0872,0.0103,56.8656,2,0
1344,756,19.1335,0.0951,52.2034,2.1849,0.0105,54.494,2,0
1344,756,18.8301,0.0989,51.002,2.2044,0.0104,53.3159,2,0
1344,756,18.6181,0.0951,52.5916,2.1353,0.0103,54.8324,2,0
1344,756,18.4137,0.093,49.6279,2.1655,0.0103,51.8969,2,0
1344,756,18.7541,0.0975,50.8495,2.1563,0.0119,53.1153,2,0
1344,756,18.3507,0.1027,50.8769,2.0687,0.0109,53.0593,2,0
1344,756,18.3553,0.096,52.4889,2.1187,0.0102,54.714,2,0
1344,756,18.9993,0.0906,51.7404,2.1016,0.0103,53.943,2,0
1344,756,17.6208,0.0883,50.8533,2.1427,0.01,53.0944,2,0
1344,756,18.9038,0.0997,50.3664,2.1318,0.0104,52.6084,2,0
1344,756,18.2729,0.0941,46.0281,1.9578,0.0097,48.0898,2,0
1344,756,17.5663,0.0927,48.0742,2.781,0.0115,50.9596,2,0
1344,756,18.1352,0.0913,49.6688,2.1461,0.0075,51.9139,2,0
1344,756,18.6319,0.0936,50.7383,2.2005,0.0108,53.0432,2,0
